day,time,location,headline,subheadline,type,filename
Samstag,18:15,Kolonaden 6,Workshop: Schminken,mit Karasu,guest,09_motion_1
Samstag,18:30,Kolonaden 4+5,KaKAO - Kann man das trinken?,,vortrag,09_motion_1
Samstag,19:15,Kolonaden 4+5,KaKAO Karten_Workshop,Zeichnen & Basteln erlaubt,workshop,09_motion_1
Samstag,19:15,Blauer Saal,Einf�hrung in den_japanischen Humor,,vortrag,07_motion_1
Samstag,19:30,Gesellschaftssaal,Schnittmuster-Basiswissen,,vortrag,04_motion_1
Samstag,19:45,Festsaal,European Cosplay Gathering (ECG),Siegerehrung,contest,09_motion_1
Samstag,19:45,Kolonaden 6,Mit Make-Up ist_Mann hübscher!,,workshop,09_motion_1
Samstag,20:30,Festsaal,Mardelas,Konzert,guest,10_motion_1
Samstag,20:45,Au��enbereich,Matsuri Feuerwerk,,event,02_motion
Samstag,20:45,Kolonaden 4+5,Plushie n_hen_leicht gemacht,,workshop,10_motion_1
Samstag,21:00,Blauer Saal,Bring & Auction,,programm,10_motion_1
Samstag,21:30,Gesellschaftssaal,Mardelas,Signierstunde,guest,10_motion_1
Samstag,22:00,Festsaal,AMV-Wettbewerb,,contest,09_motion_1
Samstag,22:30,Kolonaden 6,Synchron-Workshop,Ab 18,workshop,09_motion_1
Sonntag,10:15,Gesellschaftssaal,Bild & Lichtgestaltung,,workshop,09_motion_1
Sonntag,10:15,Kolonaden 4+5,Workshop: Schminken,mit Karasu,guest,16_motion_1
Sonntag,10:15,Kolonaden 6,Rooster Teeth_Miles Luna & Patrick Rodriguez,Q&A Panel,guest,16_motion_1
Sonntag,10:30,Autogramm 1,Ulla Wagener &_Patricia Strasburger,Signierstunde,guest,16_motion_1
Sonntag,11:00,Festsaal,WCS - World Cosplay Summit,Vorentscheid 2018,contest,16_motion_1
Sonntag,11:00,Autogramm 2,Rooster Teeth_Miles Luna & Patrick Rodriguez,Signierstunde,guest,16_motion_1
Sonntag,11:15,Blauer Saal,Die Yamasakis,,showact,16_motion_1
Sonntag,11:30,Kolonaden 6,Mardelas,Q&A Panel,guest,09_motion_1
Sonntag,11:45,Autogramm 1,Ren_ Dawn-Claude &_ Christian Zeiger,Signierstunde,guest,17_motion
Sonntag,11:45,Kolonaden 4+5,Cosplay-Fotografie_für Anfünger,,workshop,09_motion_1
Sonntag,12:00,Gesellschaftssaal,Iso Mitsou,Q&A Panel,guest,17_motion
Sonntag,12:30,Blauer Saal,Imitari,,showact,09_motion_1
Sonntag,12:30,Autogramm 2,Chii Sakurabi,Signierstunde,guest,09_motion_1
Sonntag,12:45,Kolonaden 6,Synchron-Workshop,,workshop,09_motion_1
Sonntag,13:00,Autogramm 1,Mardelas,Signierstunde,guest,09_motion_1
Sonntag,13:15,Festsaal,Karasu,Auftritt,guest,17_motion
Sonntag,13:15,Gesellschaftssaal,How to Japan:_Abgelegene Regionen,,vortrag,17_motion
Sonntag,13:30,Kolonaden 4+5,Von einfach nur Kawaii bis Chibi,Zeichenworkshop,workshop,17_motion
Sonntag,13:45,Blauer Saal,Sayuri,,showact,17_motion
Sonntag,14:15,Festsaal,Horo,,showact,17_motion
Sonntag,14:30,Autogramm 2,Iso Mitsuo,Signierstunde,guest,17_motion
Sonntag,14:30,Autogramm 1,Hiroyuki Yamaga&_Yasuhiro Takeda,Signierstunde,guest,17_motion
Sonntag,15:00,Blauer Saal,Nudelschlürfwettbewerb,,contest,17_motion
Sonntag,15:00,Kolonaden 6,Cosplay:_Bootcovers,,workshop,17_motion
Sonntag,15:15,Gesellschaftssaal,Cosplay-Fotografie,,workshop,17_motion
Sonntag,15:30,Autogramm 2,Twin Cosplay,_Shiro &_Shunuske,Signierstunde,guest,17_motion
Sonntag,15:30,Kolonaden 4+5,"Qual der Wahl: Thermoplaste,_Styrodur oder Foam?",,workshop,17_motion
Sonntag,16:00,Festsaal, Chii Sakurabi,Konzert,guest,17_motion
Sonntag,16:15,Kolonaden 6,Cosplay: Applikationen,,workshop,17_motion
Sonntag,17:00,Festsaal,Abschlussveranstaltung,,default,17_motion
